observationId,field,observationStartMJD,t_exp,fieldRA,fieldDEC,seeingFwhmEff,fiveSigmaDepth,skyBrightness,filter
29606,s27-2-06,61402.89199074074,90,199.0951375,-1.001111111111111,1.375026289868875,22.189206061163134,19.675474364332672,r
29607,s27-1-10,61402.89318865741,90,162.4031,4.194444444444445,1.194908281827996,22.277666106532262,19.14505789760026,g
29608,s27-2-07,61402.893229166664,90,201.74911666666665,-1.001111111111111,1.6162036716660242,22.01479619114949,19.675474364332672,r
29609,s27-1-11,61402.89442708333,90,162.4031,1.596666666666667,0.9861996762906856,22.48503543185157,19.14505789760026,g
29610,s27-2-08,61402.89446759259,90,201.74911666666665,1.596666666666667,1.2236815315624279,22.314939938623727,19.675474364332672,r
29611,s27-1-12,61402.895665509255,90,162.4031,-1.001111111111111,0.9740579871461169,22.498410253486124,19.14505789760026,g
29612,s27-2-09,61402.89570601851,90,201.74911666666665,4.194444444444445,1.257537776012065,22.285521795534684,19.675474364332672,r
29613,s27-1-13,61402.89690393518,90,165.0570833333333,-1.001111111111111,0.9915812099579091,22.479159629720797,19.14505789760026,g
29614,s27-2-10,61402.896944444445,90,204.4031,4.194444444444445,1.1095341210245098,22.4708891820217,19.77896606427033,r
29615,s27-1-14,61402.89814236111,90,165.0570833333333,1.596666666666667,1.2915880653602274,22.193565618876782,19.14505789760026,g
29616,s27-2-11,61402.89818287037,90,204.4031,1.596666666666667,1.2844897604803818,22.31316227546019,19.77896606427033,r
29617,s27-1-15,61402.899380787036,90,165.0570833333333,4.194444444444445,1.062743343052866,22.404311610513293,19.14505789760026,g
29618,s27-2-12,61402.89942129629,90,204.4031,-1.001111111111111,1.496951463677252,22.148092962715758,19.77896606427033,r
29619,s27-1-16,61402.90061921296,90,167.71106249999997,4.194444444444445,1.0955428478703475,22.371476979216904,19.14505789760026,g
29620,s27-2-13,61402.90065972222,90,207.0570833333333,-1.001111111111111,1.3428406851355956,22.26527159577833,19.77896606427033,r
29621,s27-1-17,61402.901857638884,90,167.71106249999997,1.596666666666667,1.162492814433075,22.307387838511357,19.14505789760026,g
29622,s27-2-14,61402.90189814814,90,207.0570833333333,1.596666666666667,1.3865324332453828,22.23074631584677,19.77896606427033,r
29623,s27-1-18,61402.90309606481,90,167.71106249999997,-1.001111111111111,0.9704811770853444,22.50238195375013,19.14505789760026,g
29624,s27-2-15,61402.903136574074,90,207.0570833333333,4.194444444444445,1.2873725301897319,22.310746020634944,19.77896606427033,r
29625,s27-1-19,61402.90433449074,90,170.36504583333328,-1.001111111111111,1.1548570563692628,22.501208560646624,19.523168862301787,g
29626,s27-2-16,61402.904375,90,209.7110625,4.194444444444445,0.9569499704664842,22.63005675015053,19.77896606427033,r
29627,s27-1-20,61402.905572916665,90,170.36504583333328,1.596666666666667,1.1116515839656302,22.542369123524605,19.523168862301787,g
29628,s27-2-17,61402.90561342592,90,209.7110625,1.596666666666667,1.4195349777138473,22.205376624229913,19.77896606427033,r
29629,s27-1-21,61402.90681134259,90,170.36504583333328,4.194444444444445,0.9743076918158754,22.684652666405274,19.523168862301787,g
29630,s27-2-18,61402.90685185185,90,209.7110625,-1.001111111111111,1.140768204218012,22.440998198190456,19.77896606427033,r
29631,s27-1-22,61402.90804976851,90,173.019025,4.194444444444445,1.0281799478731548,22.626600939200678,19.523168862301787,g
29632,s27-2-19,61402.90809027778,90,212.3650458333333,-1.001111111111111,1.617864441167655,22.10161407350842,19.855521417528625,r
29633,s27-1-23,61402.909288194445,90,173.019025,1.596666666666667,1.1018933314276609,22.551885558192488,19.523168862301787,g
29634,s27-2-20,61402.9093287037,90,212.3650458333333,1.596666666666667,1.6040184427736648,22.110889850110034,19.855521417528625,r
29635,s27-1-24,61402.91052662037,90,173.019025,-1.001111111111111,1.311332163647658,22.363978950514127,19.523168862301787,g
29636,s27-2-21,61402.91056712963,90,212.3650458333333,4.194444444444445,1.233695053739172,22.393924112973092,19.855521417528625,r
29637,s27-1-25,61402.911765046294,90,175.6730083333333,-1.001111111111111,1.101752518093577,22.552023494372683,19.523168862301787,g
29638,s27-2-22,61402.91180555555,90,215.019025,4.194444444444445,1.1633236405161538,22.45717623711961,19.855521417528625,r
29639,s27-1-26,61402.91300347222,90,175.6730083333333,1.596666666666667,1.1305354668361183,22.524186763095454,19.523168862301787,g
29640,s27-2-23,61402.913043981476,90,215.019025,1.596666666666667,1.2900948858894459,22.345762490538622,19.855521417528625,r
29641,s27-1-27,61402.91424189814,90,175.6730083333333,4.194444444444445,1.2286959226432772,22.43428654743106,19.523168862301787,g
29642,s27-2-24,61402.91428240741,90,215.019025,-1.001111111111111,1.594403148149109,22.117378315717335,19.855521417528625,r
29643,s27-2-25,61402.91552083333,90,217.6730083333333,-1.001111111111111,1.3760515969357894,22.276239429030543,19.855521417528625,r
29644,s27-2-26,61402.91675925926,90,217.6730083333333,1.596666666666667,1.1557243762130178,22.464232451207536,19.855521417528625,r
29645,s27-1-01,61402.91771412037,90,154.44115416666665,-1.001111111111111,1.2284217424923198,22.0924110134994,20.42878966720195,u
29646,s27-2-27,61402.91799768518,90,217.6730083333333,4.194444444444445,1.0661949342302135,22.551011922928275,19.855521417528625,r
29647,s27-1-02,61402.91895254629,90,154.44115416666665,1.596666666666667,1.3115039715486174,22.022243957815967,20.42878966720195,u
29648,s27-1-03,61402.92019097222,90,154.44115416666665,4.194444444444445,1.2604719039911416,22.06480334607356,20.42878966720195,u
29649,s27-1-04,61402.92142939814,90,157.0951375,4.194444444444445,1.340355151522741,21.998900954894562,20.42878966720195,u
29650,s27-2-01,61402.92146990741,90,196.44115416666665,-1.001111111111111,1.455962639571592,22.52604560512974,20.08255002760541,g
29651,s27-1-05,61402.922667824074,90,157.0951375,1.596666666666667,1.1789896575600272,22.136416888801563,20.42878966720195,u
29652,s27-2-02,61402.92270833333,90,196.44115416666665,1.596666666666667,1.3089762811668695,22.640887254242813,20.08255002760541,g
29653,s27-1-06,61402.92390625,90,157.0951375,-1.001111111111111,1.2939960113547497,22.03665794576287,20.42878966720195,u
29654,s27-2-03,61402.923946759256,90,196.44115416666665,4.194444444444445,1.3142836779565814,22.636522090731024,20.08255002760541,g
29655,s27-1-07,61402.92514467592,90,159.74911666666665,-1.001111111111111,1.353516001580146,21.9884171395195,20.42878966720195,u
29656,s27-2-04,61402.92518518518,90,199.0951375,4.194444444444445,1.1291843510733177,22.800193482684552,20.08255002760541,g
29657,s27-1-08,61402.92638310185,90,159.74911666666665,1.596666666666667,0.9564860602717635,22.360096907501685,20.42878966720195,u
29658,s27-2-05,61402.92642361111,90,199.0951375,1.596666666666667,1.2879881622478095,22.65832330648505,20.08255002760541,g
29659,s27-1-09,61402.92762152778,90,159.74911666666665,4.194444444444445,1.2505220595473228,22.073299152857537,20.42878966720195,u
29660,s27-2-06,61402.92766203704,90,199.0951375,-1.001111111111111,0.930730172460548,23.00832131418926,20.08255002760541,g
29661,s27-1-10,61402.9288599537,90,162.4031,4.194444444444445,1.3242925207859981,21.877655609633,20.144493350701,u
29662,s27-2-07,61402.92890046296,90,201.74911666666665,-1.001111111111111,0.9070233806597695,23.03607808563427,20.08255002760541,g
29663,s27-1-11,61402.93009837963,90,162.4031,1.596666666666667,1.3775950878076992,21.83525558738699,20.144493350701,u
29664,s27-2-08,61402.930138888885,90,201.74911666666665,1.596666666666667,1.075938272490155,22.852236898627716,20.08255002760541,g
29665,s27-1-12,61402.93133680555,90,162.4031,-1.001111111111111,1.0803292921786356,22.096133010825273,20.144493350701,u
29666,s27-2-09,61402.93137731481,90,201.74911666666665,4.194444444444445,1.1191853236598048,22.809778322616197,20.08255002760541,g
